,0,1,2,3,4,name
t010101,0.504469810868,0.434306346067,0.436222406452,0.403097131094,0.451786368433,Sleeping
t0102,0.286408100886,0.373440917147,0.360147443927,0.527750482386,0.608510910438,Grooming
t0103,0.989466562884,0.0838180387098,0.0,0.0479496986963,0.10784842936,Health-related self care
t050201,0.0414669147789,0.214681921033,-1.73793091866e-17,0.975000313777,0.0395797409717,"Socializing, relaxing, and leisure as part of job"
t050203,1.61044772586e-06,1.21340761265e-19,0.999999999931,1.16522049848e-05,2.72881889777e-17,Sports and exercise as part of job
t1101,0.350269270513,0.366838065803,0.611886285366,0.334541808638,0.506377550516,Eating and Drinking
t1201,0.26848086229,0.363354585971,0.298309629223,0.257502140697,0.800372091022,Socializing and Communicating
t1202,0.100163689347,0.139406132941,-9.96232910301e-17,0.22714005865,0.958613873878,Attending or Hosting Social Events
t1203,0.788561550536,0.381129796137,0.265322283769,0.26759761864,0.301506815424,Relaxing and Leisure
t1204,0.123540905718,0.319129215988,0.0,0.186815580774,0.920865965761,Arts and Entertainment (other than sports)
t1301,0.345314496566,0.3229259199,0.272840246144,0.237710019174,0.803448128747,"Participating in Sports, Exercise, and Recreation"
t1302,0.0106946165751,0.0065639000503,0.995524840962,0.0177727188768,0.0919617414147,Attending Sports/Recreational Events
t14,0.274465514164,0.313033003103,-1.12823426439e-16,0.153471396376,0.896172723864,Religious and Spiritual Activities
t05,0.0162154638141,0.448213972608,0.493233100081,0.745068859201,0.0208517990836,Work & Work-Related Activities
t0501,0.0178816706431,0.0311062185861,0.309837902356,0.949815223091,0.0237521634381,Working
t0504,0.0013644202999,0.99999822187,0.0,0.000936200631332,0.000904511826683,Job Search and Interviewing
t1805,0.0138885234074,0.320027709553,0.314413188333,0.893304522529,0.0232540548738,Travel Related to Work
t0201,0.725183468629,0.46760129078,0.0,0.209009236557,0.460188123187,Housework
t0202,0.599558770076,0.600401460397,0.0445024377677,0.221027662241,0.478762648016,"Food & Drink Preparation, Presentation, & Clean-up"
t0203,0.850717574099,0.239519743454,0.0,0.190081140735,0.427526679345,"Interior Maintenance, Repair & Decoration"
t0204,0.927918113301,0.0655061703109,-6.78780279652e-17,0.166425284017,0.327077271449,"Exterior Maintenance, Repair & Decoration"
t0209,0.266958644742,0.340028139791,0.58708170718,0.18705449232,0.658376512449,Household Management
t0301,0.218903048993,0.591321562703,-7.09865487096e-17,0.232755450416,0.740435793926,Caring For & Helping HH Children
t0302,0.216831358533,0.756606003334,0.0,0.186126589276,0.588122785173,Activities Related to HH Children's Education
t0303,0.251528134291,0.392887413873,-1.27222857116e-16,0.153333590591,0.871126791964,Activities Related to HH Children's Health
t0304,0.934125796396,1.04874374846e-15,0.0,0.180054138033,0.308203672731,Caring for Household Adults
t0305,0.209635987504,0.434005436648,0.0,0.277608334721,0.831038895718,Helping Household Adults
t0802,0.257546958821,-8.14400498087e-17,-8.14400498087e-17,0.298917553621,0.918867705461,Financial Services and Banking
t0803,0.424847965659,0.0,0.0,0.083079390667,0.901444408115,Legal Services
t06,0.416839782206,0.461871413945,0.309387550011,0.288821627224,0.658620379655,Education
t07,0.234682392271,0.218532783359,0.671775808318,0.177732589367,0.643658284644,Consumer Purchases
t09,0.272580463383,0.114910947942,0.0,0.320849356342,0.899750551853,Household Services (not done by self)
t18,0.17739710324,0.330696145211,0.498198816493,0.43086872804,0.652165934212,Traveling
